transaction_id,day_of_week,is_weekend,is_month_start,is_month_end,location_type,account_type,account_balance,monthly_income,age,num_prev_withdrawals,hour_of_day,nearby_shops,withdrawal_amount
TXN000001,6,1,1,1,0,0,62731.48,111961.9,40,9,21,20,3195.79
TXN000002,3,0,0,1,2,2,4435.3,145081.24,67,12,8,16,4693.89
TXN000003,4,0,0,1,2,1,18154.96,75832.92,28,4,0,15,3197.41
TXN000004,6,1,1,1,1,0,29688.05,57567.61,53,5,17,4,4052.19
TXN000005,2,0,1,0,0,2,68492.9,82696.32,29,9,5,43,4250.88
TXN000006,4,0,0,0,1,0,87648.56,111981.21,26,14,11,45,3687.87
TXN000007,4,0,0,0,2,0,79949.93,10096.67,41,12,22,9,2570.31
TXN000008,6,1,0,0,1,1,18617.05,134209.64,35,14,2,12,2960.21
TXN000009,1,0,0,1,1,0,56757.87,134090.8,44,12,0,46,2794.19
TXN000010,2,0,0,1,2,2,3487.25,85781.71,26,1,6,5,5308.27
TXN000011,6,1,1,1,0,2,31398.41,27133.03,50,0,17,36,4241.96
TXN000012,2,0,0,0,1,0,80695.39,104052.81,23,6,11,15,4017.03
TXN000013,2,0,0,0,2,0,45938.24,29298.39,68,0,21,5,2758.97
TXN000014,4,0,1,0,1,1,15419.16,81056.6,50,13,19,28,1940.98
TXN000015,3,0,0,1,2,1,44136.06,23108.2,57,6,15,24,3647.59
TXN000016,2,0,0,1,2,1,20204.28,92469.15,23,12,19,22,3938.06
TXN000017,5,1,1,0,2,2,39622.55,54529.71,21,0,6,10,5506.96
TXN000018,4,0,0,0,0,1,49039.43,126338.8,20,8,16,28,4152.7
TXN000019,1,0,1,1,0,2,35281.03,121992.46,30,12,3,20,4638.5
TXN000020,3,0,0,1,2,1,93728.41,149786.34,43,4,9,25,5836.9
TXN000021,5,1,0,1,0,2,56471.76,46050.44,51,5,5,40,4815.53
TXN000022,5,1,0,0,1,0,84367.82,18652.15,30,13,1,36,3178.05
TXN000023,1,0,1,0,0,2,76192.49,72020.46,64,6,3,10,3823.36
TXN000024,3,0,1,0,0,0,66286.05,21676.47,25,0,17,37,2876.02
TXN000025,4,0,1,0,1,2,49940.43,34989.96,29,7,0,23,3557.91
TXN000026,0,0,1,1,1,2,716.29,93622.02,25,5,0,16,2848.62
TXN000027,3,0,0,1,1,0,61540.03,92898.32,36,11,15,8,3427.72
TXN000028,1,0,1,1,2,2,35917.77,16065.85,58,1,12,7,5073.66
TXN000029,5,1,1,0,1,2,12217.34,72006.67,27,0,13,29,4535.31
TXN000030,4,0,1,1,1,1,44740.31,84230.62,49,14,10,6,2007.5
TXN000031,3,0,0,1,1,0,73687.56,47523.39,38,0,19,36,3957.28
TXN000032,0,0,0,1,2,0,96186.94,132086.05,40,3,7,48,6234.53
TXN000033,0,0,1,1,0,1,37723.44,32553.81,44,2,9,22,3126.68
TXN000034,2,0,1,1,2,1,54500.97,45546.25,42,14,15,8,3026.53
TXN000035,2,0,0,0,0,0,85198.82,31979.22,24,13,6,18,1955.16
TXN000036,6,1,1,1,1,0,33732.94,26316.53,59,10,4,43,2225.59
TXN000037,1,0,1,1,2,0,14654.6,133057.09,52,5,9,7,3043.46
TXN000038,3,0,1,0,2,1,28547.24,48900.28,19,9,17,47,3043.35
TXN000039,3,0,1,0,0,1,89962.72,111153.36,45,12,6,45,3712.98
TXN000040,6,1,0,1,2,2,16359.61,69917.53,24,7,3,13,4296.16
TXN000041,5,1,0,1,2,1,33257.5,99022.29,59,0,9,27,6436.67
TXN000042,5,1,0,1,0,2,46731.71,139944.67,57,11,17,34,5357.68
TXN000043,6,1,1,1,2,2,84787.77,128245.1,29,6,17,6,6700.54
TXN000044,5,1,1,0,2,1,93802.47,19658.09,69,7,2,5,3683.22
TXN000045,2,0,0,1,1,1,42868.13,128328.35,34,4,12,29,4816.75
TXN000046,3,0,0,0,1,1,93229.43,73255.29,39,7,13,36,4704.64
TXN000047,6,1,0,1,1,1,16565.18,59020.4,26,12,21,15,3607.04
TXN000048,3,0,1,1,1,0,16106.8,104134.31,69,10,13,42,2510.94
TXN000049,0,0,0,1,1,1,94950.46,143029.1,20,0,0,0,5407.13
TXN000050,2,0,1,0,2,2,51213.17,23178.97,39,1,4,41,4471.67
TXN000051,4,0,1,1,2,2,18997.83,117530.78,53,3,9,16,4270.67
TXN000052,2,0,0,1,1,0,49055.04,38491.12,56,0,13,6,2974.87
TXN000053,6,1,0,0,0,0,78429.51,63219.06,35,12,18,34,3080.3
TXN000054,4,0,1,1,1,1,82778.58,132335.22,34,4,22,4,4322.03
TXN000055,0,0,0,0,2,0,86464.94,86411.89,44,9,6,26,3925.93
TXN000056,6,1,0,1,0,1,57172.3,19443.93,52,2,14,29,3992.66
TXN000057,1,0,1,0,1,1,86761.13,81126.8,49,1,20,43,5171.7
TXN000058,3,0,1,0,0,0,51248.01,120549.87,20,6,8,41,2497.41
TXN000059,0,0,1,0,1,0,60902.46,84043.28,30,1,9,34,4277.98
TXN000060,3,0,1,1,2,2,75992.62,33364.49,34,8,7,15,4296.41
TXN000061,5,1,1,0,1,0,42830.81,72305.75,35,5,8,5,4101.72
TXN000062,1,0,0,0,0,0,7821.36,139408.35,68,7,10,15,2174.11
TXN000063,1,0,1,1,2,0,35341.55,102148.56,34,2,21,7,4009.95
TXN000064,0,0,1,0,1,2,62582.45,112184.11,65,4,7,19,4022.36
TXN000065,1,0,1,1,1,1,19637.07,120031.11,33,2,17,30,4148.98
TXN000066,4,0,0,1,1,2,15264.34,22697.08,39,8,4,19,3269.28
TXN000067,1,0,1,0,1,0,29661.51,91415.12,42,0,7,8,2702.07
TXN000068,3,0,1,0,2,0,3695.09,62628.13,18,7,1,29,2354.22
TXN000069,3,0,1,1,2,0,74470.58,29482.28,44,5,17,12,4015.76
TXN000070,6,1,0,0,1,1,26242.2,38379.34,31,6,18,25,3622.35
TXN000071,3,0,1,0,2,2,12861.72,119362.47,45,1,17,1,4805.5
TXN000072,6,1,1,0,0,2,70063.38,32608.47,64,6,19,40,4635.61
TXN000073,3,0,1,0,2,1,84371.34,53738.61,53,13,15,44,3722.63
TXN000074,4,0,0,1,0,2,2477.62,49882.27,69,0,3,45,3164.48
TXN000075,6,1,0,1,0,1,23743.18,16808.25,60,6,16,23,4177.62
TXN000076,2,0,0,0,2,1,94550.62,74702.18,67,10,5,12,4147.1
TXN000077,5,1,0,1,1,2,38832.79,117230.18,49,7,11,15,5586.77
TXN000078,0,0,1,0,2,2,93889.91,13101.37,46,1,6,17,4997.01
TXN000079,3,0,1,0,0,1,27784.15,25757.2,34,14,22,15,1333.04
TXN000080,1,0,0,0,0,2,22197.73,110826.14,45,9,13,1,3574.57
TXN000081,3,0,0,0,2,1,21803.79,93101.34,58,1,11,0,3851.86
TXN000082,1,0,1,1,0,2,8980.25,110134.67,38,2,20,9,3955.59
TXN000083,5,1,1,0,2,2,89695.01,42214.55,41,9,19,24,5581.16
TXN000084,5,1,0,1,2,2,97993.58,122527.63,63,3,1,13,7083.26
TXN000085,5,1,0,0,1,2,95473.63,77181.95,52,7,20,16,5521.28
TXN000086,1,0,0,1,0,2,85276.8,95442.28,37,11,3,17,4734.18
TXN000087,3,0,0,1,2,0,84765.35,22901.48,69,2,7,6,3942.86
TXN000088,5,1,1,1,0,0,66278,38704.42,39,12,9,20,3145.86
TXN000089,4,0,0,1,2,2,82708.26,118270.1,21,5,16,28,6907.05
TXN000090,6,1,0,0,2,2,21230.07,41347.18,33,12,6,26,3747.83
TXN000091,1,0,1,1,1,2,39097.31,22954.18,38,9,20,48,3559.77
TXN000092,1,0,1,0,2,1,64263.21,93608.46,61,10,9,3,3592.99
TXN000093,3,0,1,1,1,0,87539.75,86711.11,38,7,20,11,4511.79
TXN000094,1,0,1,1,0,1,66216.71,95105.15,57,9,16,21,3551.38
TXN000095,1,0,1,1,1,0,83982.68,96562.77,58,1,15,39,4739.58
TXN000096,5,1,0,0,1,0,47657.98,80027.63,28,3,12,33,5223.96
TXN000097,3,0,0,1,0,2,71871.72,79128.35,54,14,22,25,3187.03
TXN000098,5,1,0,0,1,2,98008.09,139383.18,61,0,17,27,6475.23
TXN000099,6,1,1,0,1,1,15772.11,84743.44,39,10,4,18,2721.55
TXN000100,6,1,0,0,2,1,92728.61,96422.03,37,7,7,30,5930.56
TXN000101,5,1,1,1,1,2,52475.21,47375.71,19,0,6,13,5690.42
TXN000102,6,1,0,1,2,2,64500.19,131953.05,60,11,17,22,6320.18
TXN000103,3,0,0,1,1,0,87847.97,13411.53,28,8,22,16,2737.61
TXN000104,0,0,1,1,0,0,41260.59,88011.75,38,5,5,22,3089.92
TXN000105,5,1,1,1,0,2,42159.91,63739.04,50,11,12,16,4078.98
TXN000106,4,0,0,1,1,0,52954.59,94546.59,66,13,23,7,2843.29
TXN000107,4,0,0,1,2,1,2400.66,60424.09,34,12,8,37,3035.44
TXN000108,1,0,0,0,1,0,49918.29,110476.31,53,11,22,9,3067
TXN000109,6,1,0,1,2,2,29463.18,12846.4,31,2,7,29,5046.42
TXN000110,4,0,0,0,1,0,92831.44,66824.52,54,12,11,6,3074.08
TXN000111,1,0,1,0,0,2,9229.66,126376.9,48,7,9,1,2574.01
TXN000112,0,0,1,1,0,0,46202.39,45028.1,21,1,6,46,3178.55
TXN000113,3,0,1,1,2,1,94773.08,17385.12,23,10,6,21,4177.51
TXN000114,3,0,1,0,1,1,90153.01,79513.37,67,2,16,4,3270.05
TXN000115,3,0,0,0,2,2,70284.17,146714.68,38,13,4,2,4740.55
TXN000116,4,0,0,1,0,2,59141.42,18982.2,30,6,9,8,4766.09
TXN000117,0,0,1,0,2,2,28432.73,19807.91,55,10,20,4,2336.72
TXN000118,4,0,0,0,1,0,37012.23,93316.32,32,0,19,19,3501.79
TXN000119,6,1,1,0,2,0,9468.42,45009.48,22,8,14,28,3041.74
TXN000120,4,0,0,0,1,0,78717.78,67432.37,55,9,12,5,2846.81
TXN000121,0,0,0,1,1,1,32725.04,126271,41,8,13,3,5009.55
TXN000122,0,0,0,1,0,2,66944.3,37838.82,35,2,16,35,4851.46
TXN000123,6,1,1,0,1,0,36080.68,110701.99,46,13,6,20,2916.41
TXN000124,0,0,1,0,1,1,46700.88,80627.97,49,3,23,16,2999.56
TXN000125,0,0,1,0,1,2,55722.75,136694.08,24,1,20,14,5711.4
TXN000126,3,0,1,1,2,1,80284.31,146214.68,47,9,3,26,4633.4
TXN000127,6,1,0,1,0,2,21510.06,77894.51,55,10,8,38,5356.81
TXN000128,2,0,0,0,2,0,40177.16,91850.59,43,12,18,18,3439.83
TXN000129,2,0,0,0,2,1,13443.12,114417.96,25,14,13,42,3817.11
TXN000130,0,0,0,0,0,1,8038.17,54614.38,42,14,2,2,1134.17
TXN000131,2,0,1,1,2,1,60665.1,41743.65,47,0,3,27,4434.51
TXN000132,2,0,0,0,2,2,19314.56,145055.92,41,12,22,46,4386.88
TXN000133,0,0,0,0,1,2,6450.03,70566.15,47,10,1,21,2737.66
TXN000134,2,0,0,0,2,1,89761.24,10222.72,22,12,7,48,3909.01
TXN000135,4,0,1,0,0,2,53664.28,127280.56,21,7,1,5,4228.85
TXN000136,1,0,1,0,2,1,13895.51,93952.98,68,10,3,30,2622.09
TXN000137,6,1,1,1,1,0,5815.9,33598.2,59,8,1,4,1813.94
TXN000138,1,0,0,1,2,1,12426.08,14219.56,26,14,3,12,2179.04
TXN000139,0,0,1,1,0,1,47398.06,50807.54,50,8,20,48,3443.93
TXN000140,3,0,0,0,1,2,67012.29,139904.19,68,9,8,33,4970.91
TXN000141,6,1,0,1,2,2,64307.37,140688.76,46,12,1,49,6247.97
TXN000142,0,0,0,0,0,2,14870.1,53540.49,48,14,19,9,1543.4
TXN000143,3,0,1,1,0,0,63532.15,127030.34,61,4,21,39,3331.33
TXN000144,1,0,1,1,2,0,40784.13,71858.35,36,4,16,39,3496.38
TXN000145,0,0,0,0,2,0,46742.01,101608.26,62,14,0,49,2619.26
TXN000146,6,1,0,0,1,2,80242.33,56822.14,64,4,22,43,5652.82
TXN000147,6,1,1,0,2,1,33583.69,82236.16,19,5,5,27,4471.82
TXN000148,5,1,1,1,1,1,15126.41,51129.12,37,3,15,20,4253.26
TXN000149,4,0,1,0,2,1,87408.59,18556.01,29,1,3,36,4906.78
